1995, B442,  Nucl. Phys., Kutasov & Schwimmer,  Universality in Two Dimensional Gauge Theory.
1995, B346,  Phys.Lett., Koubek,  A method to determine the operator content of perturbed conformal field  theories
1995, B435,  Nucl.Phys., Koubek,  The space of local operators in perturbed conformal field theories,
1995, B442,  Nucl.Phys., Duff,  Strong/Weak Coupling Duality from the Dual String
1995, D51,  Phys.Rev., Danilov\.,  The calculation of Feynman diagrams in the superstring perturbation  theory.
1995, A28,  J.Phys., Illuminati & Viola,  Stochastic Variational Approach to Minimum Uncertainty States
1995, B443,  Nucl. Phys., NAKATSU & TAKASAKI & TSUJIMARU,  Quantum and Classical Aspects of Deformed $c=1$ Strings.
1995, B449,  Nucl. Phys., O'Loughlin,  On Consistent Boundary Conditions for c=1 String Theory
1995, D51,  Phys.Rev., Torres,  SEMILOCAL NONTOPOLOGICAL SOLITONS IN A CHERN-SIMONS THEORY.
1995, D52,  Phys.Rev., Lee & Yi,  SELF-DUAL ANYONS IN UNIFORM BACKGROUND FIELDS
1995, D52,  Phys.Rev., Shin & Soh,  Black Hole Formation by Sine-Gordon Solitons in Two-dimensional Dilaton  Gravity
1995, A28,  J.Phys., Elizalde & Kirsten & Zerbini,  Applications of the Mellin-Barnes integral representation
1995, B445,  Nucl.Phys., Ambjorn & Watabiki,  Scaling in quantum gravity
1995, A10,  Mod. Phys. Lett., Pesando,  The Gross-Neveu model on the light cone
1995, A10,  Mod.Phys.Lett., ~Shtykov & ~Vassilevich,  The Casimir energy for two-dimensional deformed sphere
1995, D51,  Phys.Rev., Singleton,  Exact Schwarzschild-Like Solution for Yang-Mills Theories
1995, D52,  Phys.Rev., Banks & Berkooz & Steinhardt,  The Cosmological Moduli Problem, Supersymmetry Breaking and Stability in  Postinflationary Cosmology
1995, B444,  Nucl. Phys., Aida & Kitazawa & Nishimura & Tsuchiya,  Two-loop Renormalization in Quantum Gravity near Two Dimensions
1995, A10,  Int.J.Mod.Phys., Maggiore,  Algebraic renormalization of N=2 Super Yang-Mills theories coupled to  matter
1995, B453,  Nucl.Phys., Smirnov,  Counting the local fields in SG theory.
1995, B444,  Nucl. Phys., Devchand & Ogievetsky,  SELF-DUAL SUPERGRAVITIES
1995, D51,  Phys.Rev., Brustein & Gasperini & Giovannini & Mukhanov & Veneziano,  Metric Perturbations in Dilaton-Driven Inflation
1995, B347,  Phys. Lett., Elizalde & Odintsov,  DILATONIC GRAVITY NEAR TWO DIMENSIONS AND ASYMPTOTIC FREEDOM OF THE  GRAVITATIONAL COUPLING CONSTANT
1995, B350,  Phys.Lett., Townsend,  The eleven-dimensional supermembrane revisited
1995, B444,  Nucl.Phys., Papadopoulos & Townsend,  Solitons in supersymmetric sigma-models with torsion
1995, A10,  Mod. Phys. Lett., Kehagias & Papantonopoulos,  Discontinuities and collision of gravitational waves in string theory
1995, B349,  Phys. Lett., Blumenhagen & Wisskirchen,  Generalized String Functions of N=1 Space-Time Supersymmetric String  Vacua
1995, D52,  Phys.Rev., Arodz,  Thick domain walls in a polynomial approximation
1995, B349,  Phys. Lett., Underwood & Spence,  Restricted Quantum Theory of Affine Toda Solitons
1995, B349,  Phys.Lett., MacKay,  Lattice quantization of Yangian charges
1995, A10,  Int. J. Mod. Phys., Henderson & Rajeev,  Solitons in a Bilocal Field Theory
1995, A10,  Mod.Phys.Lett., Braga & Wotzasek,  COUPLING CHIRAL BOSONS TO GRAVITY
1995, D52,  Phys.Rev., Muzinich & Vokos,  Long Range Forces in Quantum Gravity
1995, B441,  Nucl.Phys., Bernard\.,  On The Random Vector Potential Model In Two Dimensions.
1995, D51,  Phys.Rev., Das,  Geometric Entropy of Nonrelativistic Fermions and Two Dimensional  Strings
1995, D51,  Phys.Rev., Kirsten & Toms,  Bose-Einstein condensation for interacting scalar fields in curved  spacetime
1995, D52,  Phys.Rev., Ortin,  TIME-SYMMETRIC INITIAL DATA SETS IN 4--D DILATON GRAVITY
1995, A10,  Mod.Phys.Lett., Brunelli & Das\.,  Properties of an Alternate Lax Description of the KdV Hierarchy
1996, C72,  Z.Phys., Singleton,  Exact Schwarzschild-Like Solution for SU(N) Gauge Theory
1995, B445,  Nucl.Phys., Bowcock & Corrigan & Dorey & Rietdijk,  Classically integrable boundary conditions for affine Toda field  theories
1996, A11,  Int.J.Mod.Phys., Crescimanno & Schnitzer,  Universal Aspects of Two-Dimensional Yang-Mills Theory at Large N
1995, A10,  Mod.Phys.Lett., Ahn & Krivonos & Sorin,  The Full Structure of Quantum $N=2$ Super-$W_3^{(2)}$ Algebra
1995, D51,  Phys.Rev., Larsen & Sanchez,  New Classes of Exact Multi-String Solutions in Curved Spacetimes
1996, A11,  Int.J.Mod.Phys., Larsen & Sanchez,  The Effect of Spatial Curvature on the Classical and Quantum Strings
1995, B441,  Nucl. Phys., Provero & Vinti,  The 2D effective field theory of interfaces derived from 3D field theory
1995, B358,  Phys. Lett., Penati & Zanon,  Quantum integrability in two-dimensional systems with boundary
1995, C68,  Z.Phys., McCartor & Robertson,  The Mandelstam-Leibbrandt Prescription in Light-Cone Quantized Gauge  Theories
1995, B442,  Nucl.Phys., Distler & Kachru,  Duality of (0,2) String Vacua
1995, B446,  Nucl.Phys., Bandos & Pasti & Sorokin & Tonin & Volkov,  SUPERSTRINGS AND SUPERMEMBRANES IN THE DOUBLY SUPERSYMMETRIC GEOMETRICAL  APPROACH
1995, B444,  Nucl.Phys., Plefka,  Iterative Solution of the Supereigenvalue Model
1995, B348,  Phys. Lett., Modanese,  General Estimate for the Graviton Lifetime
1996, D53,  Phys.Rev., Liao,  On the Connection Between Momentum Cutoff and Operator Cutoff  Regularizations
1995, D52,  Phys.Rev., Fursaev & Solodukhin,  On the Description of the Riemannian Geometry in the Presence of Conical  Defects
1995, A10,  Mod.Phys.Lett., Antonov & Belov & Feigin,  GEOMETRICAL DESCRIPTION OF THE LOCAL INTEGRALS OF MOTION OF  MAXWELL-BLOCH EQUATION
1995, B353,  Phys.Lett., Ghoshal & Panda,  Antibracket as the Hamiltonian Structure of a classical integrable  system
1995, B349,  Phys. Lett., Kachru,  Some Three Generation (0,2) Calabi-Yau Models
1995, B110,  Nuovo Cim., ABE,  Does gravitational wave propagate in the five dimensional space-time  with Kaluza-Klein monopole?
1995, B449,  Nucl.Phys., Gandenberger,  Exact S-Matrices for Bound States of $a_2^{(1)}$ Affine Toda Solitons
1995, D52,  Phys.Rev., Liao & Strickland,  Renormalization Group Approach to Field Theory at Finite Temperature
1995, A28,  J.Phys., Kojima & Miki & Quano,  Annihilation poles of a Smirnov-type integral formula for solutions to  quantum Knizhnik--Zamolodchikov equation
1996, C72,  Z.Phys., Kiyanov-Charsky,  Path integral approach to bosonization of D=2 field theories
1995, D52,  Phys.Rev., Gates & Ketov,  No N=4 Strings on Wolf Spaces
1995, A10,  Mod.Phys.Lett., Frolov,  Gauge-invariant Hamiltonian formulation of lattice Yang-Mills theory and  the Heisenberg double
1996, R763,  Phys. Rev., Chamon & Mudry & Wen,  Negative dimensional operators in the disordered critical points of  Dirac fermions
1995, A10,  Mod. Phys. Lett., Smirnov & Turbiner,  Lie-algebraic discretization of differential equations
1995, B442,  Nucl.Phys., TANIMOTO,  The role of Killing-Yano tensors in supersymmetric mechanics on a curved  manifold
1996, D53,  Phys.Rev., Peldan,  Large Diffeomorphisms in (2+1)-Quantum Gravity on the Torus
1996, D53,  Phys.Rev., Kogut & Wang,  On the Interplay of Monopoles and Chiral Symmetry Breaking in  Non-Compact Lattice QED
1995, B443,  Nucl.Phys., Randjbar-Daemi & Strathdee,  Chiral Fermions on the Lattice
1995, B353,  Phys.Lett., Golterman & Shamir,  The relation between the waveguide and overlap implementations of  Kaplan's domain wall fermions
1995, B443,  Nucl.Phys., Korchemsky,  Bethe Ansatz for QCD Pomeron,
1995, D52,  Phys.Rev., Luty & March-Russell & Murayama,  New Symmetries of Supersymmetric Effective Lagrangians
1996, D5,  Int.J.Mod.Phys., Macorra,  Vanishing of the Cosmological Constant, Stability of the Dilaton and  Inflation
1996, A11,  Mod.Phys.Lett., Lopez & Nanopoulos,  A new cosmological constant model
1995, D52,  Phys.Rev., Gusynin & Miransky & Shovkovy,  Dynamical Chiral Symmetry Breaking by a Magnetic Field in QED
1995, D51,  Phys.Rev., Kostelecky & Potting,  CPT, Strings, and Meson Factories
1995, B456,  Nucl.Phys., Chaudhuri & Chung & Hockney & Lykken,  String Consistency for Unified Model Building
1995, B344,  Phys.Lett., Colladay & Kostelecky,  Tests of Direct and Indirect CPT Violation at a B Factory
1995, A10,  Mod. Phys. Lett., Bloch & Pennington\.,  Numerical cancellation of photon quadratic divergence in the study of  the Schwinger-Dyson equations in Strong Coupling QED.
1996, A11,  Mod.Phys.Lett., Kobayashi & Sato,  Quantum Deformation of igl(n) Algebra on Quantum Space
1995, B9,  Mod. Phys. Lett., Martino & Siena & Illuminati,  Dymanics of Generalized Coherent States
1995, B352,  Phys. Lett., Alfinito & Leo & Leo & Palese & Soliani,  Integrable nonlinear field equations and loop algebra structures
1996, A11,  Mod.Phys.Lett., Maharana,  SYMMETRIES OF THE DIMENSIONALLY REDUCED STRING EFFECTIVE ACTION
1999, A14,  Int.J.Mod.Phys., Anishetty & Basu & Dass & Sharatchandra,  Infrared Behaviour of Systems With Goldstone Bosons
1995, B449,  Nucl.Phys., Batakis & Kehagias,  Anisotropic space-times in homogeneous string cosmology
1995, B351,  Phys.Lett., Gunaydin & Nicolai,  Seven Dimensional Octonionic Yang-Mills Instanton and its Extension to  an Heterotic String Soliton
1997, A12,  Int.J.Mod.Phys., Alexandrov & Kontsevich & Schwarz & Zaboronsky,  The Geometry of the Master Equation and Topological Quantum Field Theory
1995, A28,  J.Phys., Skorik & Saleur,  Boundary bound states and boundary bootstrap in the sine-Gordon model  with Dirichlet boundary conditions.
1995, B351,  Phys. Lett., Aharony,  Remarks on Non-Abelian Duality in N=1 Supersymmetric Gauge Theories
1995, B451,  Nucl. Phys., Moreira & Jnr\.,  Massive quantum fields in a conical background
1995, B450,  Nucl. Phys., Arodz,  On expansion in the width for domain walls
1995, C67,  Z. Phys., Schelstraete & Verschelde,  A Technique for generating Feynman Diagrams
1995, B448,  Nucl. Phys., Cappelli & Trugenberger & Zemba,  Stable Hierarchical Quantum Hall Fluids as W-(1 + infinity) Minimal  Models
1995, B349,  Phys. Lett., Asorey & Falceto & Lopez & Luzon,  Nodes, Monopoles and Confinement in 2+1-Dimensional Gauge Theories
1996, D54,  Phys.Rev., Asorey & Falceto,  Consistency of the Regularization of Gauge Theories by High Covariant  Derivatives
1995, D51,  Phys.Rev., Aurilia & Smailagic & Spallucci,  Conformal p-branes as a Source of Structure in Spacetime
1995, A10,  Mod.Phys.Lett., Das & Hott,  Supersymmetric Theories on a Non Simply Connected Space-Time
1995, B448,  Nucl. Phys., Diamantini & Sodano & Trugenberger\.,  Self Duality and Oblique Confinement in Planar Gauge Theories.
1995, B341,  Phys.Lett., Chen & Luo & Guo,  QCD_3 Vacum Wave Function
1996, A11,  Mod.Phys.Lett., Harris,  A Two Term Truncation of the Multiple Ising Model Coupled to 2d Gravity
1995, B449,  Nucl.Phys., Russo & Tseytlin,  Exactly solvable string models of curved space-time backgrounds
1995, A28,  J.Phys., Batchelor & Baxter & O'Rourke & Yung,  Exact solution and interfacial tension of the six-vertex model with  anti-periodic boundary conditions
1995, B446,  Nucl. Phys., Yung & Batchelor,  Exact solution for the spin-$s$ XXZ quantum chain with non-diagonal  twists
1995, B349,  Phys.Lett., Volkov & Brodbeck & Lavrelashvili & Straumann,  THE NUMBER OF SPHALERON INSTABILITIES OF THE BARTNIK-McKINNON SOLITONS  AND NON-ABELIAN BLACK HOLES
1995, A10,  Int. J. Mod. Phys., Erdenebayar,  An Example of Higher Weight Superpotential Interaction in the Heterotic  String on Orbifolds
1995, B453,  Nucl.Phys., Zhou,  Fusion Hierarchy and Finite-Size Corrections of $U_q[sl(2)]$ Invariant  Vertex Models with Open Boundaries
1995, C68,  Z.Phys., Neves & de Abreu & Wotzasek\.,  ON THE COVARIANTIZATION OF THE CHIRAL CONSTRAINT
1995, B448,  Nucl.Phys., Girardello & Giveon & Porrati & Zaffaroni,  S-Duality in N=4 Yang-Mills Theories with General Gauge Groups,
1995, B355,  Phys.Lett., OZ,  ON TOPOLOGICAL $2D$ STRING AND INTERSECTION THEORY
1995, B448,  Nucl.Phys., Jimbo & Kedem & Konno & Miwa & Weston,  Difference Equations in Spin Chains with a Boundary
1995, D52,  Phys.Rev., Hayward,  String-Motivated Model
1995, B349,  Phys.Lett., Bakas & Sfetsos,  T-duality and world-sheet supersymmetry
1995, B446,  Nucl.Phys., Zhou & Pearce,  SOLUTION OF FUNCTIONAL EQUATIONS OF RESTRICTED $A_{n-1}^{(1)}$ FUSED  LATTICE MODELS
1995, D52,  Phys.Rev., Kallosh & Linde & Linde & Susskind,  GRAVITY AND GLOBAL SYMMETRIES
1995, B450,  Nucl. Phys., Kondo,  Thirring Model as a Gauge Theory
1995, B444,  Nucl.Phys., Ceresole & D'Auria & Ferrara & Proeyen,  Duality Transformations in Supersymmetric Yang-Mills Theories coupled to  Supergravity,
1996, D53,  Phys.Rev., Ivanov,  On the harmonic superspace geometry of $(4,4)$ supersymmetric sigma  models with torsion
1995, D52,  Phys.Rev., Kiem & Verlinde & Verlinde,  Black Hole Horizons and Complementarity
1995, D52,  Phys.Rev., Dilkes & McKeon,  A Massive Renormalizable Abelian Gauge Theory in 2+1 Dimensions
1995, B444,  Nucl.Phys., Kaplunovsky & Louis,  On Gauge Couplings in String Theory
1996, A11,  Int.J.Mod.Phys., Kim & Lee,  ADM, Bondi mass, and energy conservation in two-dimensional dilaton  gravities
1995, D52,  Phys.Rev., Lo,  Aharonov-Bohm Order Parameters for Non-Abelian Gauge Theories
1995, B355,  Phys. Lett., Bimonte & Iengo & Lozano,  UV asymptotically free QED as a broken YM theory in the unitary gauge
1995, B353,  Phys. Lett., Buchbinder & Mistchuk & Pershin,  BRST - BFV analysis of anomalies in bosonic string theory interacting  with background gravitational field
1995, B353,  Phys.Lett., Grisaru & Zanon\.,  Supergravity dressing of beta-functions in N=1 and N=2 supersymmetric  models.
1995, B457,  Nucl. Phys., Renzo & Marchesini & Onofri,  RENORMALONS FROM EIGHT LOOP EXPANSION OF THE GLUON CONDENSATE IN LATTICE  GAUGE THEORY,
1995, D52,  Phys.Rev., Halasz & Verbaarschot,  Effective Lagrangians and Chiral Random Matrix Theory
1995, D52,  Phys.Rev., Bose & Parker & Peleg,  Semi-infinite Throat as the End-state Geometry of two-dimensional Black  Hole Evaporation
1995, D52,  Phys.Rev., Cvetic & Youm,  STATIC FOUR-DIMENSIONAL ABELIAN BLACK HOLES IN KALUZA-KLEIN THEORY
1995, B445,  Nucl. Phys., ICHINOSE & TSUDA & YUKAWA,  Classical Solution of Two Dimensional $R^2$-Gravity and Cross-Over  Phenomenon
1995, D52,  Phys.Rev., Harada & Okazaki & Taniguchi,  Six-body Light-Front Tamm-Dancoff approximation and wave functions for  the massive Schwinger model
1995, B444,  Nucl.Phys., Gutperle,  Multi-boundary effects in Dirichlet String Theory
1995, D51,  Phys.Rev., Becker & Becker & Strominger,  Three-Dimensional Supergravity and the Cosmological Constant
1995, B351,  Phys. Lett., Lu & Pope & Stelle & Xu,  Embedding of the Bosonic String into the $W_3$ String
1995, B355,  Phys.Lett., Cattaneo & Cotta-Ramusino & Gamba & Martellini,  The Donaldson-Witten Invariants in Pure QCD with Order and Disorder 't  Hooft-like Operators
1995, D52,  Phys.Rev., Shapiro & Takata,  One loop renormalization of the four-dimensional theory for quantum  dilaton gravity.
1995, B350,  Phys. Lett., Hetrick & Hosotani & Iso,  The Massive Multi-flavor Schwinger Model
1995, B347,  Phys. Lett., Kim & Lee & Park,  Stability Analysis of the Dilatonic Black Hole in Two Dimensions
1995, D52,  Phys.Rev., Kim & Lee,  Hawking Radiation and Energy Conservation in an Evaporating Black Hole
1996, B372,  Phys.Lett., Baver & Gepner,  Fermionic Sum Representations for the Virasoro Characters of the Unitary  Superconformal Minimal Models
1995, D52,  Phys.Rev., Cvetic & Youm,  KALUZA-KLEIN BLACK HOLES WITHIN HETEROTIC STRING THEORY ON A TORUS
1995, B351,  Phys.Lett., Gracia-Bondia,  Connes' interpretation of the Standard Model and massive neutrinos
1995, A10,  Mod.Phys.Lett., Frolov,  Hamiltonian lattice gauge models and the Heisenberg double
1995, B351,  Phys.Lett., Klimcik & Severa,  Dual Non-Abelian Duality and the Drinfeld Double
1995, A28,  J.Phys., Chen & Eriksen & Tracy\.,  Largest eigenvalue distribution in the double scaling limit of matrix
1995, B449,  Nucl. Phys., Polyakov,  Picture-Changing operators and Space-Time supersymmetry
1995, B351,  Phys.Lett., Mondragon & Nellen & Schmidt & Schubert,  Yukawa Couplings for the Spinning Particle and the World Line Formalism
1995, D52,  Phys.Rev., Curtright & Zachos,  CANONICAL NONABELIAN DUAL TRANSFORMATIONS IN SUPERSYMMETRIC FIELD  THEORIES
1996, D53,  Phys.Rev., Fujiwara & Igarashi & Kuriki & Tabei,  BFV-BRST Quantization of 2D Supergravity
1995, B352,  Phys. Lett., Abad & Rios,  Non-diagonal solutions to reflection equations in $su(n)$ spin chains
1995, B450,  Nucl.Phys., Martins,  The exact solution and the finite size behaviour of the $Osp(1|2)$  invariant spin chain
1995, B359,  Phys.Lett., Martins,  Bethe ansatz solution of the $Osp(1|2n)$ invariant spin chain
1995, B354,  Phys. Lett., Caicedo & Gianvittorio & Restuccia & Stephany,  BRST QUANTIZATION OF NON-ABELIAN BF TOPOLOGICAL THEORIES
1995, B441,  Nucl.Phys., Montague,  Third and Higher Order NFPA Twisted Constructions of Conformal Field  Theories from Lattices
1995, B361,  Phys.Lett., Faizullaev & Musakhanov & Pak,  ON THE HIGHER-LOOP CONTRIBUTIONS TO THE AXIAL ANOMALY
1995, B352,  Phys. Lett., Bandos & Sorokin & Volkov,  ON THE GENERALIZED ACTION PRINCIPLE FOR SUPERSTRINGS AND SUPERMEMBRANES
1995, B351,  Phys.Lett., Cvetic & Ovrut & Sabra,  Kahler Potentials For Orbifolds With Continuous Wilson Lines And The  Symmetries Of The String Action.
